#separator:tab
#html:true
#notetype column:1
#deck column:2
#front column:3
#back column:4
#tags column:5
Basic	Enseñar::Present::Indicative	I teach my children to pray and trust God every day.	Enseño a mis hijos a orar y confiar en Dios cada día.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	Do you teach a Sunday school class at your church?	¿Enseñas una clase de escuela dominical en tu iglesia?	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	She teaches the women's Bible study group every Tuesday morning.	Enseña al grupo de estudio bíblico de mujeres cada martes por la mañana.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	We teach what the Scripture says and trust God to change hearts.	Enseñamos lo que dice la Escritura y confiamos en Dios para cambiar los corazones.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	They teach the whole counsel of God without leaving anything out.	Enseñan todo el consejo de Dios sin dejar nada fuera.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	I teach from the Psalms when I want to encourage those who are hurting.	Enseño de los Salmos cuando quiero animar a quienes están sufriendo.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	Do you teach others how to study the Bible on their own?	¿Enseñas a otros cómo estudiar la Biblia por su cuenta?	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	He teaches a class on the life of Jesus every Saturday at the church.	Enseña una clase sobre la vida de Jesús cada sábado en la iglesia.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	We teach our members how to read the Bible in context to avoid misinterpretation.	Enseñamos a nuestros miembros cómo leer la Biblia en contexto para evitar malinterpretaciones.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	They teach new believers the basics of the Christian faith in a six-week course.	Enseñan a los nuevos creyentes los fundamentos de la fe cristiana en un curso de seis semanas.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	I teach the story of Joseph to show how God redeems suffering for a greater purpose.	Enseño la historia de José para mostrar cómo Dios redime el sufrimiento para un propósito mayor.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	Do you teach the story of Moses to show how God delivers his people?	¿Enseñas la historia de Moisés para mostrar cómo Dios libera a su pueblo?	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	She teaches how Daniel's faith was tested and how he remained faithful to God.	Enseña cómo la fe de Daniel fue probada y cómo permaneció fiel a Dios.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	We teach the resurrection accounts to show that Jesus truly rose from the dead.	Enseñamos los relatos de la resurrección para mostrar que Jesús verdaderamente resucitó.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	They teach how Elijah's story shows that even great men of God face discouragement.	Enseñan cómo la historia de Elías muestra que incluso los grandes hombres de Dios enfrentan el desaliento.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	I teach the newcomers where to find the restrooms and parking during orientation.	Enseño a los recién llegados dónde encontrar los baños y el estacionamiento durante la orientación.	Enseñar Present Indicative
Basic	Enseñar::Present::Indicative	Do you teach the children's choir songs that praise God with joyful hearts?	¿Enseñas al coro de niños canciones que alaben a Dios con corazones alegres?	Enseñar Present Indicative
